"text","intent"
"Tell me about the history of computers.","INTENT5_GENERALINFO"
"What's the capital of Australia?","INTENT5_GENERALINFO"
"Who discovered gravity?","INTENT5_GENERALINFO"
"Can you explain the Big Bang theory?","INTENT5_GENERALINFO"
"What are the health benefits of green tea?","INTENT5_GENERALINFO"
"How do 3D printers work?","INTENT5_GENERALINFO"
"What is photosynthesis?","INTENT5_GENERALINFO"
"Tell me about the Great Wall of China.","INTENT5_GENERALINFO"
"What's the largest desert in the world?","INTENT5_GENERALINFO"
"Who wrote 'To Kill a Mockingbird'?","INTENT5_GENERALINFO"
"Explain the concept of virtual reality.","INTENT5_GENERALINFO"
"What are the main components of a computer?","INTENT5_GENERALINFO"
"How do vaccines work?","INTENT5_GENERALINFO"
"What is climate change?","INTENT5_GENERALINFO"
"Tell me something surprising.","INTENT5_GENERALINFO"
"What's the longest word in the English language?","INTENT5_GENERALINFO"
"Who was Leonardo da Vinci?","INTENT5_GENERALINFO"
"Explain the concept of mindfulness.","INTENT5_GENERALINFO"
"What are the major rivers in Europe?","INTENT5_GENERALINFO"
"How does GPS work?","INTENT5_GENERALINFO"
"What is meditation?","INTENT5_GENERALINFO"
"Tell me about ancient Egypt.","INTENT5_GENERALINFO"
"What's the coldest place on Earth?","INTENT5_GENERALINFO"
"Who composed 'Symphony No. 5'?","INTENT5_GENERALINFO"
"Can you explain the concept of sustainable development?","INTENT5_GENERALINFO"
"What are the benefits of reading?","INTENT5_GENERALINFO"
"How do solar panels generate electricity?","INTENT5_GENERALINFO"
"What is a black hole?","INTENT5_GENERALINFO"
"Tell me a historical fact.","INTENT5_GENERALINFO"
"What's the most spoken language in the world?","INTENT5_GENERALINFO"
"Who was Albert Einstein?","INTENT5_GENERALINFO"
"Explain the concept of democracy.","INTENT5_GENERALINFO"
"What are the different types of carbohydrates?","INTENT5_GENERALINFO"
"How do credit cards work?","INTENT5_GENERALINFO"
"What is cryptocurrency?","INTENT5_GENERALINFO"
"Tell me about the Amazon rainforest.","INTENT5_GENERALINFO"
"What's the deepest point in the ocean?","INTENT5_GENERALINFO"
"Who wrote '1984'?","INTENT5_GENERALINFO"
"Explain the concept of cybersecurity.","INTENT5_GENERALINFO"
"What are the main organs of the human body?","INTENT5_GENERALINFO"
"How does a microwave oven heat food?","INTENT5_GENERALINFO"
"What is augmented reality?","INTENT5_GENERALINFO"
"Tell me a fun fact about outer space.","INTENT5_GENERALINFO"
"What's the largest island in the world?","INTENT5_GENERALINFO"
"Who discovered penicillin?","INTENT5_GENERALINFO"
"Can you explain the concept of climate zones?","INTENT5_GENERALINFO"
"How do wind turbines generate electricity?","INTENT5_GENERALINFO"
"What is a galaxy?","INTENT5_GENERALINFO"
"Tell me about the Renaissance period.","INTENT5_GENERALINFO"
"What's the smallest country in the world?","INTENT5_GENERALINFO"
"Who developed the theory of evolution?","INTENT5_GENERALINFO"
"Explain the concept of social media.","INTENT5_GENERALINFO"
"What are the benefits of learning a new language?","INTENT5_GENERALINFO"
"How do batteries work?","INTENT5_GENERALINFO"
"What is quantum entanglement?","INTENT5_GENERALINFO"
"Tell me about the history of photography.","INTENT5_GENERALINFO"
"What's the largest animal on Earth?","INTENT5_GENERALINFO"
